UserId	fear	anger	sad	joy	surprise	disgust	trust	anticipation	positive	negative	#Emo_Categories	label
u718	0	0	0	0	0	0	0	0	0	0	0	Male
u887	0.0	0.181818181818	0.0909090909091	0.636363636364	0.0	0.0	0.0909090909091	0.0	0.727272727273	0.272727272727	4	Male
u537	0.0	0.137931034483	0.103448275862	0.655172413793	0.0344827586207	0.0	0.0344827586207	0.0344827586207	0.75	0.25	6	F
u1512	0.0	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.333333333333	0.666666666667	3	Male
u85	0.0833333333333	0.444444444444	0.0833333333333	0.25	0.0	0.0555555555556	0.0833333333333	0.0	0.333333333333	0.666666666667	6	F
u849	0.0	0.0909090909091	0.0909090909091	0.454545454545	0.181818181818	0.0	0.0	0.181818181818	0.818181818182	0.181818181818	5	Male
u77	0.0434782608696	0.260869565217	0.130434782609	0.195652173913	0.0	0.0217391304348	0.108695652174	0.239130434783	0.54347826087	0.45652173913	7	F
u1203	0.0	0.0	0.0666666666667	0.533333333333	0.0	0.0	0.2	0.2	0.933333333333	0.0666666666667	4	Male
u1192	0.0	0.0666666666667	0.0	0.733333333333	0.0666666666667	0.0	0.0	0.133333333333	0.933333333333	0.0666666666667	4	Male
u18	0.0212765957447	0.468085106383	0.0212765957447	0.212765957447	0.0425531914894	0.0	0.0425531914894	0.191489361702	0.489361702128	0.510638297872	7	F
u382	0.0	0.04	0.0	0.72	0.0	0.0	0.08	0.16	0.96	0.04	4	F
u965	0.0	0.111111111111	0.111111111111	0.555555555556	0.0	0.0	0.0555555555556	0.166666666667	0.777777777778	0.222222222222	5	Male
u1479	0	0	0	0	0	0	0	0	0	0	0	Male
u719	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u445	0.0	0.05	0.0	0.9	0.0	0.0	0.0	0.05	0.95	0.05	3	F
u103	0.0	0.166666666667	0.166666666667	0.333333333333	0.0	0.0	0.166666666667	0.166666666667	0.666666666667	0.333333333333	5	F
u1141	0.0	0.125	0.0	0.75	0.0	0.0	0.0	0.125	0.875	0.125	3	Male
u1481	0.0	0.0	0.0	0.823529411765	0.117647058824	0.0	0.0	0.0588235294118	1.0	0.0	3	Male
u728	0.125	0.25	0.0	0.125	0.0	0.0	0.0	0.5	0.625	0.375	4	Male
u1016	0.0	0.0909090909091	0.0909090909091	0.727272727273	0.0	0.0	0.0909090909091	0.0	0.818181818182	0.181818181818	4	Male
u65	0.0	0.285714285714	0.142857142857	0.380952380952	0.0	0.0	0.0	0.190476190476	0.571428571429	0.428571428571	4	F
u391	0.0181818181818	0.145454545455	0.0909090909091	0.4	0.0181818181818	0.0	0.127272727273	0.2	0.745454545455	0.254545454545	7	F
u1296	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	1.0	0.0	2	Male
u209	0.017094017094	0.0598290598291	0.0769230769231	0.666666666667	0.00854700854701	0.00854700854701	0.0512820512821	0.111111111111	0.844827586207	0.155172413793	8	F
u298	0.0	0.125	0.125	0.625	0.0	0.0	0.0	0.125	0.75	0.25	4	F
u1036	0.0	0.0	0.25	0.75	0.0	0.0	0.0	0.0	0.75	0.25	2	Male
u146	0.0	0.0222222222222	0.0444444444444	0.6	0.177777777778	0.0	0.0666666666667	0.0888888888889	0.933333333333	0.0666666666667	6	F
u1323	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u74	0.0	0.285714285714	0.142857142857	0.142857142857	0.0	0.0	0.428571428571	0.0	0.571428571429	0.428571428571	4	F
u1108	0.0	0.0	0.0	0.8	0.0	0.0	0.2	0.0	1.0	0.0	2	Male
u1298	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.1	1.0	0.0	2	Male
u1356	0.0	0.285714285714	0.047619047619	0.333333333333	0.0	0.0	0.214285714286	0.119047619048	0.666666666667	0.333333333333	5	Male
u456	0.0	0.303571428571	0.232142857143	0.428571428571	0.0	0.0	0.0	0.0357142857143	0.464285714286	0.535714285714	4	F
